Spieler_ID;Vereins_ID;Trikot_Nr;Spieler_Name;Land;Spiele;Tore;Vorlagen
120;3;13;MartinHinteregger;Österreich;11;2;0
121;3;3;SimonFalette;Frankreich;9;0;1
122;3;23;MarcoRuss;Deutschland;9;0;0
123;3;33;TalebTawatha;Israel;6;0;1
124;3;18;AlmamyToure;Mali;4;0;0
125;3;22;TimothyChandler;Vereinigte Staaten;0;0;0
126;3;25;PatriceKabuya;Deutschland;0;0;0
127;3;35;Tuta;Brasilien;0;0;0
128;3;11;MijatGacinovic;Serbien;35;2;4
129;3;20;MakotoHasebe;Japan;31;0;0
130;3;6;JonathandeGuzman;Niederlande;29;2;8
131;3;5;GelsonFernandes;Schweiz;27;1;0
132;3;27;NicolaiMüller;Deutschland;12;2;0
133;3;17;SebastianRode;Deutschland;12;0;1
134;3;21;MarcStendera;Deutschland;11;0;0
135;3;16;LucasTorro;Spanien;8;1;0
136;3;28;Allan;Brasilien;4;0;0
137;3;30;SahverdiCetin;Deutschland;0;0;0
138;3;0;PatrickFinger;Deutschland;0;0;0
139;3;18;ChicoGeraldes;Portugal;0;0;0
140;3;36;MischaHauser;Deutschland;0;0;0
141;3;27;NilsStendera;Deutschland;0;0;0
142;3;9;SebastianHaller;Frankreich;36;19;12
143;3;8;LukaJovic;Serbien;35;22;6
144;3;4;AnteRebic;Kroatien;26;9;3
145;3;39;GoncaloPaciencia;Portugal;8;3;1
146;3;31;BranimirHrgota;Schweden;1;0;0
147;3;32;NelsonMandelaMbouhom;Kamerun;0;0;0
148;12;1;LucasHradecky;Finnland;32;0;0
149;12;28;RamazanÖzcan;Österreich;4;0;0
150;12;24;ThorstenKirschbaum;Deutschland;1;0;0
151;12;40;TomaszKucz;Polen;0;0;0
152;12;23;MitchellWeiser;Deutschland;33;2;2
153;12;18;Wendell;Brasilien;31;2;1
154;12;4;JonathanTah;Deutschland;30;2;0
155;12;6;AleksandarDragovic;Österreich;25;2;1
156;12;16;TinJedvaj;Kroatien;20;2;0
157;12;3;PanagiotisRetsos;Griechenland;1;0;0
158;12;36;AdrianStanilewicz;Deutschland;1;0;0
159;12;29;KaiHavertz;Deutschland;34;13;7
160;12;5;SvenBender;Deutschland;24;0;0
161;12;38;KarimBellarabi;Deutschland;23;9;5
162;12;8;LarsBender;Deutschland;22;1;2
163;12;20;CharlesAranguiz;Chile;21;2;4
164;12;21;DominikKohr;Deutschland;21;2;2
165;12;15;JulianBaumgartlinger;Österreich;19;0;0
166;12;30;SamSchreck;Deutschland;2;0;0
167;12;37;HerdiBukusu;Deutschland;0;0;0
168;12;9;LeonBailey;Jamaika;35;5;3
169;12;31;KevinVolland;Deutschland;34;12;9
170;12;10;JulianBrandt;Deutschland;34;7;12
171;12;13;LucasAlario;Argentinien;27;7;2
172;12;7;Paulinho;Brasilien;17;1;0
173;12;11;IsaacThelin;Schweden;14;1;0
174;12;32;JakubBednarczyk;Polen;1;0;0
175;12;17;JoelPohjanpalo;Finnland;0;0;0
176;9;1;KoenCasteels;Belgien;28;0;0
177;9;12;PavaoPervan;Österreich;2;0;0
178;9;36;PhillipMenzel;Deutschland;0;0;0
179;9;25;JohnBrooks;Unbekannt;28;2;2
180;9;15;JeromeRoussillon;Frankreich;27;2;3
181;9;2;William;Brasilien;27;1;1
182;9;31;RobinKnoche;Deutschland;26;2;0
183;9;17;FelixOhisUduokhai;Deutschland;11;0;0
184;9;32;MarcelTisserand;Kongo DR;5;0;0
185;9;3;PaulVerhaegh;Niederlande;3;0;0
186;9;35;Gian-LucaItter;Deutschland;2;0;0
187;9;27;MaximilianArnold;Deutschland;29;1;4
188;9;8;RenatoSteffen;Schweiz;27;3;1
189;9;13;YannickGerhardt;Deutschland;27;2;1
190;9;37;ElvisRexhbecaj;Albanien;21;1;1
191;9;10;YunusMalli;Türkei;16;1;1
192;9;23;JosuhaGuilavogui;Frankreich;13;2;0
193;9;4;IgnacioCamacho;Spanien;6;0;0
194;9;29;JohnYeboah;Deutschland;3;0;0
195;9;38;IsmailAzzaoui;Belgien;0;0;0
196;9;9;WoutWeghorst;Niederlande;28;13;4
197;9;21;JosipBrekalo;Kroatien;24;2;4
198;9;14;AdmirMehmedi;Schweiz;20;7;3
199;9;33;DanielGinczek;Deutschland;19;6;2
200;9;11;FelixKlaus;Deutschland;8;0;0
201;9;7;Paul-GeorgesNtep;Frankreich;0;0;0
202;9;34;MarvinStefaniak;Deutschland;0;0;0
203;7;1;JiriPavlenka;Tschechien;29;0;0
204;7;40;LucaPlogmann;Deutschland;1;0;0
205;7;27;StefanosKapino;Griechenland;0;0;0
206;7;23;TheodorGebreSelassie;Tschechien;29;2;3
207;7;5;LudwigAugustinsson;Schweden;29;1;4
208;7;18;NiklasMoisander;Finnland;25;0;0
209;7;13;MilosVeljkovic;Serbien;19;1;0
210;7;15;SebastianLangkamp;Deutschland;16;0;0
211;7;32;MarcoFriedl;Österreich;5;0;0
212;7;2;FelixBeijmo;Schweden;0;0;0
213;7;39;Jan-NiklasBeste;Deutschland;0;0;0
214;7;21;JulianRieckmann;Deutschland;0;0;0
215;7;35;MaximilianEggestein;Deutschland;29;6;5
216;7;30;DavyKlaassen;Niederlande;29;4;3
217;7;6;KevinMöhwald;Deutschland;18;2;1
218;7;44;PhilippBargfrede;Deutschland;17;1;0
219;7;17;NuriSahin;Türkei;15;1;1
220;7;36;ThoreJacobsen;Deutschland;0;0;0
221;7;34;Jean-ManuelMbom;Deutschland;0;0;0
222;7;25;ThanosPetsos;Griechenland;0;0;0
223;7;0;RomanoSchmid;Österreich;0;0;0
224;7;10;MaxKruse;Deutschland;28;9;11
225;7;4;ClaudioPizarro;Peru;23;5;2
226;7;24;JohannesEggestein;Deutschland;21;4;1
227;7;11;MilotRashica;Kosovo;20;8;1
228;7;9;MartinHarnik;Österreich;17;7;1
229;7;8;YuyaOsako;Japan;15;4;1
230;7;19;JoshSargent;Unbekannt;9;2;0
231;7;22;FinBartels;Deutschland;2;0;0
232;7;20;AronJohannsson;Vereinigte Staaten;0;0;0
233;6;1;OliverBaumann;Deutschland;31;0;1
234;6;33;AlexanderStolz;Deutschland;0;0;0
235;6;3;PavelKaderabek;Tschechien;29;4;5
236;6;4;ErminBicakcic;Unbekannt;22;1;2
237;6;38;StefanPosch;Österreich;19;0;0
238;6;2;JoshuaBrenet;Niederlande;13;3;1
239;6;15;KasimNuhu;Ghana;13;0;0
240;6;21;BenjaminHübner;Deutschland;7;0;0
241;6;41;AlfonsAmade;Deutschland;1;0;0
242;6;0;LucasRibeiro;Brasilien;0;0;0
243;6;16;NicoSchulz;Deutschland;31;2;5
244;6;11;FlorianGrillitsch;Österreich;28;1;1
245;6;22;KevinVogt;Deutschland;26;0;0
246;6;10;KeremDemirbay;Deutschland;25;4;6
247;6;13;LeonardoBittencourt;Deutschland;22;1;4
248;6;18;NadiemAmiri;Deutschland;7;0;0
249;6;8;DennisGeiger;Deutschland;5;0;1
250;6;37;RobinHack;Deutschland;1;0;0
251;6;42;ChristophBaumgartner;Österreich;0;0;0
252;6;7;LukasRupp;Deutschland;0;0;0
253;6;40;Joelinton;Brasilien;32;11;7
254;6;28;AdamSzalai;Ungarn;30;4;2
255;6;27;AndrejKramaric;Kroatien;29;18;2
256;6;19;IshakBelfodil;Algerien;27;9;2
257;6;9;ReissNelson;England;24;6;0
258;6;26;DavidOtto;Deutschland;2;0;0
259;6;44;NicolasWahling;Deutschland;0;0;0
260;8;22;RuneJarstein;Norwegen;27;0;0
261;8;1;ThomasKraft;Deutschland;3;0;0
262;8;35;MariusGersbeck;Deutschland;0;0;0
263;8;33;JonathanKlinsmann;Unbekannt;0;0;0
264;8;12;DennisSmarsch;Deutschland;0;0;0
265;8;28;FabianLustenberger;Schweiz;24;0;1
266;8;17;MaximilianMittelstädt;Deutschland;22;3;1
267;8;5;NiklasStark;Deutschland;22;1;0
268;8;21;MarvinPlattenhardt;Deutschland;19;1;2
269;8;4;KarimRekik;Niederlande;19;0;0
270;8;25;JordanTorunarigha;Deutschland;16;2;2
271;8;13;LukasKlünter;Deutschland;5;0;0
272;8;31;DerrickLuckassen;Niederlande;4;0;0
273;8;2;PeterPekarik;Slowakei;2;0;0
274;8;29;FlorianBaak;Deutschland;1;0;0
275;8;37;PanzuErnesto;Deutschland;0;0;0
276;8;10;OndrejDuda;Slowakei;28;10;2
277;8;20;ValentinoLazaro;Österreich;27;2;4
278;8;8;SalomonKalou;Elfenbeinküste;25;5;3
279;8;23;ArneMaier;Deutschland;25;0;0
280;8;15;MarkoGrujic;Serbien;17;3;0
281;8;16;JavairoDilrosun;Niederlande;11;2;3
282;8;6;VladimirDarida;Tschechien;11;0;1
283;8;3;PerCiljanSkjelbred;Norwegen;9;0;1
284;8;32;DennisJastrzembski;Deutschland;6;0;1
285;8;34;MauriceCovic;Deutschland;0;0;0
286;8;30;JuliusKade;Deutschland;0;0;0
287;8;19;VedadIbisevic;Bosnien-Herzegowina;26;11;2
288;8;27;DavieSelke;Deutschland;25;4;6
289;8;11;MathewLeckie;Australien;13;2;0
290;8;24;PalkoDardai;Deutschland;7;0;0
291;8;14;PascalKöpke;Deutschland;5;0;0
292;8;36;MuhammedKiprit;Deutschland;0;0;0
293;11;1;AlexanderSchwolow;Deutschland;28;0;1
294;11;26;MarkFlekken;Niederlande;0;0;0
295;11;37;ConstantinFrommann;Deutschland;0;0;0
296;11;23;DominiqueHeintz;Deutschland;28;1;1
297;11;30;ChristianGünter;Deutschland;26;0;3
298;11;5;ManuelGulde;Deutschland;21;1;0
299;11;17;LukasKübler;Deutschland;16;0;2
300;11;15;PascalStenzel;Deutschland;16;0;2
301;11;3;PhilippLienhart;Österreich;16;0;0
302;11;36;ChimaOkoroji;England;2;0;0
303;11;31;KevenSchlotterbeck;Deutschland;2;0;0
304;11;49;NicoSchlotterbeck;Deutschland;1;0;0
305;11;8;MikeFrantz;Deutschland;25;3;1
306;11;19;JanikHaberer;Deutschland;22;1;3
307;11;20;JeromeGondorf;Deutschland;21;2;2
308;11;27;NicolasHöfler;Deutschland;13;0;0
309;11;32;VincenzoGrifo;Italien;8;3;3
310;11;22;RolandSallai;Ungarn;7;2;0
311;11;6;AmirAbrashi;Albanien;5;0;0
312;11;21;BrandonBorrello;Australien;0;0;0
313;11;35;LucaHerrmann;Deutschland;0;0;0
314;11;38;FlorianKath;Deutschland;0;0;0
315;11;11;LucaWaldschmidt;Deutschland;26;7;1
316;11;18;NilsPetersen;Deutschland;24;10;2
